Day,Total,1,2,3,4,5,6,2P
01/05/2015,2,2,0,0,2,0,0,0,0
02/05/2015,1,1,0,0,1,0,0,0,0
03/05/2015,1,1,0,1,0,0,0,0,0
04/05/2015,1,1,0,1,0,0,0,0,0
05/05/2015,2,2,0,1,1,0,0,0,0
06/05/2015,1,1,0,1,0,0,0,0,0
07/05/2015,3,3,2,1,0,0,0,0,0
08/05/2015,5,5,3,2,0,0,0,0,0
09/05/2015,2,2,1,1,0,0,0,0,0
10/05/2015,2,2,1,1,0,0,0,0,0
11/05/2015,3,3,1,2,0,0,0,0,0
12/05/2015,2,2,1,1,0,0,0,0,0
13/05/2015,2,2,2,0,0,0,0,0,0
14/05/2015,3,3,1,1,1,0,0,0,0
15/05/2015,5,5,2,1,2,0,0,0,0
16/05/2015,3,3,0,2,0,0,0,0,1
17/05/2015,2,2,0,0,1,0,0,0,1
18/05/2015,3,3,0,2,1,0,0,0,0
19/05/2015,1,1,1,0,0,0,0,0,0
20/05/2015,2,2,0,0,2,0,0,0,0
22/05/2015,3,3,2,1,0,0,0,0,0
23/05/2015,8,8,5,2,1,0,0,0,0
24/05/2015,2,2,1,0,1,0,0,0,0
25/05/2015,3,3,1,0,1,0,0,0,1
26/05/2015,3,3,2,1,0,0,0,0,0
27/05/2015,3,3,0,0,1,0,0,0,2
28/05/2015,3,3,3,0,0,0,0,0,0
29/05/2015,4,4,2,1,1,0,0,0,0
30/05/2015,6,6,4,1,0,0,0,0,1
31/05/2015,3,3,2,1,0,0,0,0,0
01/06/2015,4,4,1,3,0,0,0,0,0
02/06/2015,7,7,4,3,0,0,0,0,0
03/06/2015,5,5,3,2,0,0,0,0,0
04/06/2015,12,12,8,3,1,0,0,0,0
05/06/2015,6,6,2,3,1,0,0,0,0
06/06/2015,13,13,7,4,2,0,0,0,0
07/06/2015,15,15,5,9,1,0,0,0,0
08/06/2015,6,6,5,0,1,0,0,0,0
09/06/2015,9,9,3,4,2,0,0,0,0
